original,translate
Yesterday we had the corpse of a young boy of no more than 12 years come in,昨天我们收到了一个不到12岁男孩的尸体
He had been beaten to death by the looks of it,看起来是被人殴打致死的
"Sacred dead preserve me - were it not for the calling, I’m not sure I would have persevered",圣灵保佑我 - 要不是使命感，我真不一定能坚持下去
A glimmer of light,一丝光芒
"Brother Aruun came running up from the crypt, so frightened he had pissed his robes",哥哥阿鲁恩从墓穴中冲出来，吓得裤子都湿了
He claimed he saw something move down in the crypt,他说他在墓穴里看到什么东西在动
Something “unnatural,什么“不自然的”
"We laughed till we fell over and by the end, so did he",我们笑得东倒西歪，最后他也笑了
No doubt he saw one of the rats but it’s funny where the mind wanders when sleep becomes scarce,毫无疑问，他看到的只是一只老鼠，但当睡眠变得稀缺时，思绪会飘向奇怪的地方
Something is wrong in the village!,村庄里出了问题！
They say some kind of riot has broken out,有人说发生了某种暴动
Hierophant Leios said Driina has gone to investigate and that we monks should stay in the crypt for our own safety,神职人员里奥斯说，德里娜已经去调查了，让我们这些僧侣留在墓穴里以确保安全
We try to pass the time with work but I wish we knew what was happening,我们试图通过工作打发时间，但我们都想知道发生了什么
They came from the lower crypts!,他们来自下层墓穴！
All are dead save me and brother Aruun!,只剩下我和哥哥阿鲁恩还活着！
We have locked ourselves in the storage room,我们把自己锁在储藏室里
How can this be?,这怎么可能？
How can such abominations walk?,这些怪物为何还能行走？
There is no light in the afterlife!,来世没有光明！
Only black stars,只有黑星
No water,没有水源
Aruun did not wake today,阿鲁恩今天没有醒来
I dare not leave this room - I hear them outside,我不敢离开这间房 - 我听到外面有动静
I too shall pass,我也将逝去
Black stars beckon,黑星召唤
A Ragged Note,一份破烂的笔记
A ragged letter that seems to contain direction of some sort,一份破烂的信件，似乎包含某种方向
Enter the sewers from the harbor through the westernmost outlet,从港口通过最西端的出口进入下水道
Follow the chalk arrows on the wall and make your way east past the central cistern and then south,沿着墙上的白垩箭头前进，向东经过中央蓄水池，然后向南
From there you’ll find a stairs going down and into the Rat-Maze,从那里你会找到通往地下的阶梯，进入鼠穴迷宫
"In the maze, go W, S, S, W, W and you’ll find yourself in the Underhalls",在迷宫中，向西，向南，向南，再向西，向西，你会发现自己在地下大厅
Mind your manners while you’re there and be sure to peruse the Black Market,在那里注意礼貌，并务必浏览黑市
Surgeon's Journal,手术日志
A journal that was kept by the ship surgeon of the Zephyr,这是海风号船上的外科医生所记的日记
Written on the day of departure from the mainland,写于离开大陆的那一天
Left Adler's Helm today with a full complement of passengers,今天离开了阿德勒的舵轮，满载乘客
Mercenaries by the looks of it,看起来是雇佣兵
Paid well,薪酬丰厚
Ship was dispatched by Guild before we could fully restock medical supplies,船只在我们完全补充医疗物资之前就被公会派遣了
Hopefully we won't need them,希望我们不需要它们
"Then again, our passengers make me uneasy",再说，我们的乘客让我感到不安
Written 5 days ago,写于五天前
Brawl in mess - had to set nose,在厨房里打斗 - 我不得不处理了一下鼻子
Men seem on edge,人们似乎紧张兮兮
Can't say I blame them,说真的，我也不怪他们
Have been sleeping poorly and dreams are... unsound,睡眠一直不好，梦境……很不真实
Written 4 days ago,写于四天前
Igan came to me today with a bite-wound that he sustained whilst working in the hold,伊甘今天来找我，身上有咬伤，是在货舱工作时受的
Didn't see creature and I would say it was a rat's bite if it weren't for the size and some aspect of the dentition that I find hard to explain properly,没看到那东西，如果不是伤口的大小和一些难以解释的齿痕，我会说那是一只老鼠的咬伤
Written two days ago,写于两天前
Was visited today by navigator Aslam,今天来访的是领航员阿斯拉姆
He asked for Whitefern - a sedative,他要了白蕨——一种镇静剂
Claimed he had trouble sleeping,声称自己睡眠不好
"Suspected he was not fully forthcoming and when pushed, he mumbled something about the stars being 'odd'",我怀疑他没有完全坦白，被追问后，他咕哝着说星星“很奇怪”
Not sure what he meant and he left before I could push him further,我不确定他指的是什么，他离开前没有给我更多解释的机会
Written today,今天写
Men are about to break,人们即将崩溃
We cannot maintain our course for Idra,我们无法继续前往伊德拉
Captain advised me today to make ready the surgery and to expect casualties,船长今天建议我准备好手术，并预期会有伤亡
I suspect he intends to inform our passengers that he refuses to land on the island,我怀疑他打算告知我们的乘客，他拒绝在岛上降落
If this is my last,如果这是我的最后一程
The entry trails off,这段记录到此结束
Caspar's Journal,卡斯帕的日记
"A small, leather-bound journal filled with neat handwritten notes",一本小皮册，里面记录着整洁的手写笔记
Noted on the inside cover is the name “Caspar of Loral,内页上标注的名字是“卡斯帕·洛拉尔”
About a year ago,大约一年前
Arrived today and was met by the man who is to be my overseer,今天抵达，并被那位将要成为我的监工的人迎接
Mathias,马修斯
He seemed nice enough albeit eccentric,他看起来还算不错，尽管有些古怪
Is this to be my fate as well?,这也会是我的命运吗？
"Woe to me that my wretched life and poor choices has landed me, Caspar of Loral, on this barren rock as the keeper of lights",我的悲惨生活和糟糕的选择将卡斯帕·洛拉尔带到了这荒凉的岩石上，成为了灯塔的守护者
About six months ago,大约半年前
Saw lights on the shore near the cave entrance,在洞口附近看到了岸边的灯光
Smugglers Mathias say,马修斯说的走私者
"He insists we leave them alone and I am forced to abide, though my mind wanders often to that cave and what may lay within",他坚持让我们不要去管他们，我虽然不得不遵守，但我的思绪常常飘向那个洞穴及其内部的秘密
About a month ago,大约一个月前
I cannot take it any more!,我再也无法忍受了！
The old bastard is driving me mad!,这老家伙简直让我抓狂！
He spies on me and gives me strange looks,他一直窥视我，还用奇怪的眼神看着我
And I’m sure he goes through my things!,而且我肯定他在翻我的东西！
I went for a walk to clear my head and I ended up by the entrance to the sea-cave,我去散步想放松一下，结果到了海边洞穴的入口
Something is calling me there,有什么东西在召唤我
I hear it even in my sleep,即使在梦里我也能听到它
About a week before your arrival in Idra,在你抵达伊德拉之前大约一周
Dreams driving me mad!,梦魇让我抓狂！
Always it calls me to the caves,每次它都在召唤我去洞穴
To the deeper dark that lies beneath where no man has tread for eons,去那片深邃的黑暗，那里已经数千年无人涉足
The looking stone and the ancient sleepers,观察石和古老的沉睡者
The blade calls me,刀剑在召唤我
I can take no more,我再也忍受不了了
Smuggler's Journal,漏斗手日志
A small leather-bound book,一本小的皮质封面书
I hate these jobs,我讨厌这种工作
Dropped off and told to guard the cargo until it can be collected,被扔在这里，直到货物被取走，还得看守货物
And whilst the bastards up in the northern cave are living the good life I’m stuck in this hole,而那些混蛋在北方洞穴里过着好日子，我却困在这个破地方
I sometimes think the Imperial dungeons would be preferable,有时我甚至觉得帝国的地牢更好一些
We explored the cave today and found what appears to be an underwater tunnel in one of the dead-ends,今天我们探索了洞穴，发现其中一个死胡同里似乎有一个通往水下的隧道
Bryn insisted we try to swim it but I can think of no worse nightmare than being lost in the dark underwater,布林坚持让我们尝试游泳过去，但我想没有什么比在黑暗的水下迷路更可怕的噩梦了
I told him as much and he got agitated,我这么告诉他，他变得激动起来
Yelled something about dreaming of an ancient relic,他喊着自己曾经梦见了一件古代遗迹
I have no idea what he’s on about,我不知道他在说什么
Golden dead!,金色的亡者！
Bryn got attacked by a crab the size of a warhound today!,布林今天被一只比战犬还要大的螃蟹攻击了！
Nearly took his leg off!,差点把他的腿都咬掉了！
Neither of us have seen anything like it before and we can only pray it was alone!,我们俩之前从未见过这样的东西，只能祈祷它只是单独出现的！
Hope the ship won't be delayed much longer,希望船不会延误太久
Bryn is gone,布林不见了
I know in my heart he’s gone to the underwater tunnel,我知道他一定是去了水下的隧道
Madness!,疯狂！
Shapes are moving in the dark now,黑暗中有些东西在移动
No way out and no one is coming for me!,没有出路，也没有人来救我！
Light is failing,光线正在消逝
Mother,母亲
Marita's Cookbook,马丽塔的食谱集
A humble cookbook,一本谦逊的食谱集
Potatoes - Carrots - Leeks,土豆 - 胡萝卜 - 韭菜
All of the above can be found growing in our field,以上所有都可以在我们的田地里找到
x Eggs - Potatoes - Onions,x 鸡蛋 - 土豆 - 洋葱
Sea bird eggs will do just fine,海鸟蛋完全足够
Onions grow wild in abundance,洋葱在野外生长丰富
Cabal Journal,典礼记事本
A journal that appears to have been written by one of the members of the Cabal expedition,一本看起来像是某个典礼探险队成员写的日记
This one was found in the base-camp,这本是在基地营地找到的
ENTRY,入口
We’ve finally arrived at the Priory and found it in shockingly good condition,我们终于到达了修道院，并发现它状况出奇的好
It’s as if time has stood still here,就好像时间在这里停滞了一样
The initial survey does not reveal a clear means of accessing the lower level but I’m confident we’ll find a way given enough time,初步调查并未发现通往地下层的明显途径，但给足够的时间，我相信我们会找到方法的
This place boggles the mind,这地方真是令人难以置信
It appears to stand as it was left millennia ago,它似乎就像几千年前留下的那样站立着
How it could have slipped so well out of time and history is truly a mystery to me,它是如何如此完美地脱离了时间和历史，对我来说真是一个谜
As is the fate of the Priory’s original occupants,同样，修道院原始居民的命运也是一个谜
Still no success in finding the door to the catacombs,仍然没有找到通往墓穴的门
I can only conclude it’s somehow concealed,我只能得出结论，它可能是某种方式隐藏的
"We did, however, make an interesting discovery",然而，我们确实有一个有趣的发现
The four statues on the “pilgrim’s road” can be rotated,“朝圣者之路”上的四座雕像可以旋转
I’m certain this is somehow significant!,我肯定这背后有某种意义！
Some form of disease is spreading amongst the men,一种形式的疾病正在士兵中蔓延
Abdominal pain and swelling combined with fevers,腹痛、肿胀伴随高烧
Our apothecary is so far at a loss at curing it but suggests that proximity to the fungal growths that started sprouting is a potential vector of infection,我们的药剂师对此束手无策，但建议这种感染可能是由那些开始生长的菌类造成的
I’ve ordered that masks be worn near the growths,我已经下令在菌类附近佩戴口罩
A breakthrough,突破了
We found a document in the scriptorium with a verse on it!,在修道院的图书馆里，我们发现了一份手稿，上面有段诗句！
It’s so clear now,现在一切都清晰了
The portal had been hidden in plain sight all along - all it took to open it was the correct configuration of the statues!,通往梦境的门户一直都在我们眼前，只是需要正确的雕像排列就能开启它！
The dreaming halls await!,梦境殿堂在等待着我们！
A journal that appears to have been written by one of the members of the Cabal expedition that was dispatched to the Priory,一本似乎是某个派遣到修道院的密谋者探险队成员所写的日记
This one was found on a cocooned corpse in the catacombs,这个是在地窖中茧中包裹的尸体身上发现的
We entered the ‘Dreaming Hall’ today,今天我们进入了‘梦境殿堂’
I’m awestruck by the mystery of it all,我被这一切的神秘所震撼
What secrets did the Sleeper whisper to the monks as they dreamed?,沉睡者在梦中向僧侣们诉说了什么秘密？
We must push on and soon enough we too shall stand before his timeless glory,我们必须继续前进，不久我们也会站在他的永恒荣耀之前
"By the Maiden’s, we found it!",天之少女啊，我们找到了！
The tomb in all its glory,这座陵墓的辉煌
We lost two members to traps trying to enter the room but it’s only a matter of time now,我们在尝试进入房间时有两名成员触发了陷阱，但现在已经只是时间问题了
This is a disaster!,这是一场灾难！
I know there is something here - calling for us!,我知道这里有某些东西在召唤我们！
There must be some other way?,是否还有其他方法？
Several pages are ruined from the fungal infection,几页纸因霉菌感染而毁坏了
to move in and out of the caves and continue excavating the Eternity Gate,进出洞穴并继续挖掘永恒之门
My greatest concern at this point is the rate at which we are losing crew to suicides and infection,目前我最担心的是船员因自杀和感染而不断减少
I saw them change before my very eyes!,我亲眼目睹了他们的变化！
"Oh, blessed Maidens I may have escaped for now but I cannot escape the images that now haunt me",啊，蒙福的女祭司们，我暂时逃过了这一劫，但那些画面却如影随形
"What’s worse, the entire complex is somehow resealing itself and I’m trapped between the false tomb and the surface level",更糟糕的是，整个建筑群似乎在自行修复，我被困在假墓和地表之间
I can only pray someone is left alive topside to open the gate,只能祈祷上面还有幸存者能打开大门
This one was found on a corpse in the catacombs,这个是在地窖的尸体上找到的
They’ve found the secret passage to some kind of cave below the false tomb,他们发现了一条通往假墓下方洞穴的秘密通道
Something far older than the Priory itself,比修道院本身还要古老的存在
Older than the Empire even is the talk around camp,比帝国还要古老的传说在营地中流传
I just wish my insides didn’t hurt as much,我只是希望我的内脏不那么痛
They’re sending me down with the next shipment of tools,下一次货物运输时我会和工具一起下去
That means passing the ‘night-maze’,这意味着要穿过“夜之迷宫”
They say it can’t be lit even by magical lighting,据说即使使用魔法照明也无法照亮它
I hate the dark,我讨厌黑暗
Apparently it’s easy enough to navigate if you know how,似乎只要知道方法就能轻易导航
South until you hit the first wall and then west until wall - north until wall - west until wall - north until wall - west until wall - then north and you’re there,向南走直到碰到第一面墙，然后向西走直到碰到墙 - 向北走直到碰到墙 - 向西走直到碰到墙 - 向北走直到碰到墙 - 向西走直到碰到墙 - 然后向北走，你就到了
I went all the way to the sanctum this time,这次我直接去了圣所
By the Golden how I wish I had not,金龙啊，我多么希望我没有去过
How can such a thing be?,这怎么可能？
The writing becomes rushed,字迹变得潦草
Hear screams below,听到下面传来尖叫声
Something is wrong,有些不对劲
Save us!,救救我们！
#Adventuring - Recipes,#冒险 - 食谱
This recipe requires the following ingredients,这个食谱需要以下食材
You have now learned how to make this recipe,你现在学会了如何制作这个食谱
APPLE PIE,苹果派
BAKED CRAB,烤螃蟹
BAKED FISH,烤鱼
BAKED MUSHROOMS,烤蘑菇
BAKED ONIONS,烤洋葱
BAKED OYSTERS,烤牡蛎
BAKED POTATO,烤土豆
BEEF STEW,牛肉炖菜
CHEESE PLATE,奶酪盘
CHEESE SANDWICH,奶酪三明治
EGGS AND BACON,鸡蛋和培根
FARMER'S OMELETTE,农夫的煎蛋卷
FISH STEW,渔夫炖鱼
FRIED STEAK,炸牛排
GRILLED LEEKS,烤蒜
MASHED POTATOES,蒸土豆
MEAT SKEWERS,烤肉串
MUSHROOM OMELETTE,蘑菇煎蛋
MUSHROOM SOUP,蘑菇汤
PUMPKIN PIE,南瓜派
RATION,补给包
ROASTED EEL,烤鳗鱼
SALTED FISH,盐渍鱼
VEGETABLE SOUP,蔬菜汤
x Apple,x 苹果
x Bacon,x 培根
x Beef,x 牛肉
x Butter,x 黄油
x Carrot,x 胡萝卜
x Cheddar,x 芝士
x Cream,x 奶油
x Cured Ham,x 熟火腿
x Dark Bread,黑面包
x Dried Meat,干肉
x Eel,鳄鱼
x Eggs,鸡蛋
x Flour,面粉
x Garlic,大蒜
x Honey,蜂蜜
x Leeks,韭菜
x Lemons,柠檬
x Morel,灵芝
x Nuts,坚果
x Ombarian Wine,野蛮人葡萄酒
x Onions,洋葱
x Oysters,海胆
x Penny Buns,扇形面包
x Perklin,普尔金
x Potatoes,土豆
x Pumpkin,南瓜
x Redman,红民
x Salt,盐
x Snails,x 蜗牛
x Spices,x 调香料
x Steel-Fin,x 钢鳍
x Sugar,x 糖
x Wyrdloaf,x 奇缘面包
LESSER ATTUNEMENT TONIC,小幅附魔药剂
LESSER TONIC OF VITALITY,小幅活力药剂
POTION OF ACID RESISTANCE,抗酸液剂
POTION OF AGILITY,敏捷液剂
POTION OF BLESS,祈福液剂
POTION OF CURE DISEASE,治疗疾病液剂
POTION OF CURE POISON,治疗毒液剂
POTION OF ELECTRIC RESISTANCE,抗电液剂
POTION OF FIRE RESISTANCE,抗火液剂
POTION OF FORTIFY WILL,增强意志液剂
POTION OF FRENZY,狂热液剂
POTION OF REGENERATION,重生液剂
POTION OF SPEED,加速液剂
POTION OF STONE SKIN,石肤液剂
POTION OF STRENGTH,增强力量液剂
x Cavechild,x 洞穴幼崽
x Chitin,x 角质
x Cruel Fang,x 残酷獠牙
x Egg Cluster,x 蛋群
x Emerald King (insect,x 翡翠之王（昆虫
x Fellbell,x 落叶铃
x Firewing (insect,x 火翼（昆虫
x Glowman,x 光舞者
x Graveroot,x 阴根
x Gullyfern,x 山沟蕨
x Hound Ear,x 狮耳
x Laughtercap,x 笑菇
x Legionnaire’s Rest,x 先锋之息
x Lizard's Eye,x 爪龙之眼
x Mercury,x 汞
x Protoplasma,x 原生质
x Rat Tail,x 老鼠尾
x Rotcrawler (insect,x 腐食虫
x Rotmold,x 腐泥
x Scale,x 鳞片
x Sorrow-Eater,x 悲伤吞噬者
x Spider Silk,x 蜘蛛丝
x Starspawn,x 星生者
x Sulfur,x 硫磺
x Sunmouth,x 日口
x Tusk,x 犄角
x Venom Gland,x 毒液腺
x Withered Hand,x 枯手
#Adventuring - Misc,#冒险 - 杂项
Misc,杂项
Vomit Cups,呕吐杯
"A bag of highly toxic fungi for Esteban, the alchemist in the Underhalls",一袋名为埃斯特班的炼金术士在地下厅使用的剧毒真菌
Bee Smoker,蜜蜂驱赶器
A small apparatus that creates smoke,一个小型装置，可以产生烟雾
Used to calm bees before harvesting honey,用于在采集蜂蜜前安抚蜜蜂
Cassilda's Song,卡斯ilda的歌
A folded up piece of paper that has ‘To Camilla - From Cassilda' written on it,一张折叠的纸，上面写着“给卡米拉 - 来自卡斯ilda”
Supposedly it contains the words of a song intended for Camilla’s eyes only,据说里面包含了一首只给卡米拉看的歌的歌词
A Foul-Smelling Potion,一种恶臭的药剂
A bottle of medicine made by Mother Katak to help cure the infection that is spreading through the Idran refugee camp,一瓶由卡塔卡母亲为治愈伊德兰难民营中传播的感染而制作的药水
Firgol Honey,菲戈尔蜂蜜
A honeycomb retrieved from one of the beehives in Firgol,从菲戈尔蜂巢中取回的蜂蜡
It has a spectacular shade of yellow,它有着令人惊叹的黄色
Vessel,容器
A strange vessel that could hold liquid,一个奇怪的容器，可以容纳液体
Full Vessel,完整的容器
A strange vessel containing liquid,一个奇怪的容器，里面装着液体
Stuffed Animal,毛绒玩具
"A small, ragged stuffed animal",一个小巧破旧的毛绒玩具
No doubt it should be returned to its owner with all due haste,毫无疑问，应该尽快归还给它的主人
Giant Lizard Egg,巨型蜥蜴蛋
Large eggs,大型蛋
Something appears to be moving inside,看起来里面似乎有什么在移动
Mallet,榔头
A rounded mallet that seems to have some kind of ceremonial purpose,一个圆头的榔头，似乎有一定的仪式用途
Children's Bones,儿童的骨骼
"The tragic, mold covered, bones of two children",两具被霉菌覆盖的儿童骨骼，令人悲伤
Lighthouse Oil,灯塔油
A pitcher full of oil,一壶油
The kind that might be used for a lighthouse beacon,可能用于灯塔灯源的那种油
Nautical Guild Seal,海盗公会徽章
"A strange octagonal amulet, richly filegreed and with the navigational roset of the Nautical Guild carved on it",一个奇怪的八角形护身符，表面打磨得非常光滑，并雕刻着海盗公会的航海玫瑰图案
This is apparently an item that the guild will pay handsomely to have returned to them,这显然是一件公会愿意出高价赎回的物品
Ledger,账本
A ledger containing incriminating information,一本包含罪证信息的账本
The Whispering Tablets,耳语石板
A pair of weathered stone tablets covered in indecipherable writing and grotesque symbols,一对风化了的石板，上面刻满了无法辨认的文字和怪异的符号
The tablet’s condition seems to indicate that it has rested under the sea for a long time,这些石板的状况表明它们可能在海底沉睡了很长时间
Did you just hear a whisper?,你刚才听到耳语了吗？
Rotted Horse Flesh,腐烂的马肉
A large quantity of rotted horse flesh,大量腐烂的马肉
Utterly inedible to humans but perhaps a treat for some other beastie?,对人类来说完全无法食用，但或许对某些其他生物来说是一道美味？
A Strange Idol,一个奇怪的偶像
A grotesque looking black Idol found in the 'Santa Fury' treasure hoard,发现于“Santa Fury”宝藏堆中的一个长相怪异的黑色偶像
Sewerjack's Badge,下水道工的徽章
A small brass badge belonging to a member of the glorious Imperial Sewer-patrol,一枚属于光荣帝国下水道巡逻队成员的小铜质徽章
It's covered in filth,它上面满是污垢
Silver Flute,银笛
A small silver flute that can be used to drain the mercury-pool in the Tower of Ash,一枚可以用来排空灰烬塔中水银池的银笛
Telescope,望远镜
A collapsed field-telescope used for stargazing,一台坍塌的望远镜，用于观星
Lotus Petals,莲花花瓣
One of the ingredients needed to craft the ‘Salts of Elthanyr’,制作‘艾尔than瑞盐’所需的一种材料
Salamander's Horn,火精灵之角
Sylversalt,银盐
Salts of Elthanyr,艾尔than瑞盐
A special salt that can apparently be used to unsummon conjured creatures,据说可以用来解除召唤生物的一种特殊盐
Bring it to Calipero the Magos underneath the Tower of Ash,带给灰塔下的麦格斯·卡拉皮罗
#Adventuring - Keys,#冒险 - 钥匙
Crypt Key,坟墓钥匙
A bloodied bronze key that opens something in the crypt under the temple in Horryn,一串沾有血迹的青铜钥匙，可以打开霍ryn神殿地下的某个密室
Surgery Door Key,手术室钥匙
"A small key that unlocks the door to the surgery on the ""Zephyr",一把小型钥匙，可以打开“西风”号上的手术室门
Armory Key,武器库钥匙
A key that was discovered inside the keep in Horryn,在霍ryn要塞中发现的一把钥匙
Black Key,黑色钥匙
A large black key that unlocks something inside the Black Priory,一把大型黑色钥匙，可以打开黑修道院内的某个锁
Smugglers Key,走私者钥匙
A large rusty key that seems like it would open a chest or some other container,一把生锈的大钥匙，看起来可以打开一个箱子或其他容器
You found it on a drowned corpse beneath the lighthouse,你在灯塔下的溺水尸体上找到的
#Adventuring - Reagents,#冒险 - 药剂材料
Reagent,药剂材料
Chitin,甲壳
A thick piece of chitin taken from the exo-skeleton of an unnaturally large creature,来自某种异常巨大的生物外骨骼的一块厚实的甲壳
"As chitin dries it can be ground into powder, providing a potent alchemical ingredient",甲壳干燥后可以磨成粉末，提供一种强大的炼金材料
Cruel Fang,残酷的獠牙
"A slimy, curved fang pulled from the mouth of some sort of overgrown monstrosity",从某种巨大的怪兽口中拔出的一根黏滑的弯曲獠牙
The end is still incredibly sharp,尾端依然非常锋利
Egg Cluster,蛋巢
Not to be mistaken for their smaller and more edible counterparts,不要与它们的小巧可食用的同类混淆
"Whilst these eggs make for a potent alchemical ingredient, ingesting them in any other way can have…unpleasant effects",尽管这些蛋可以作为强大的炼金材料，但以其他方式食用它们可能会产生…不愉快的效果
Emerald King (insect,绿色之王（昆虫
Called “the King of insects” due to its shimmering emerald scales,由于其闪烁的翡翠鳞片，被称为“昆虫之王”
"Its royal title, however, does not keep it safe from the alchemists and artificers who consider it a prized reagent",然而，它的王冠头衔并不能使它免受炼金术士和工匠们的觊觎，他们视其为珍贵的药剂材料
Firewing (insect,火翼（昆虫
"Whilst this small insect is a popular alchemical ingredient, its fire-like sting makes it one of the Empire’s most hated pests",尽管这种小昆虫是炼金材料中受欢迎的选择，但它像火焰般的刺痛使它成为帝国最恨的害虫之一
Graveroot,坟根
"Often found growing on graves, the roots of this weed are believed to feed on the flesh of the dead",经常生长在坟墓上的这种杂草的根部被认为会吸取死者的肉
For this reason it is despised by grave-keepers and much sought after by those who dabble in the arcane,因此，它被坟墓看守者憎恶，并受到那些涉足奥秘之术的人的追捧
Gullyfern,山谷蕨
This small fern is often found growing near streams or in the deeper parts of the forest,这种小蕨类植物通常生长在溪流附近或森林深处
"It emits a fresh, pleasant scent",它散发出清新宜人的香气
Hound Ear,狗耳
"A large, leathery ear cut from the freshly dead head of some monstrous hound",这是从某些怪兽狗的刚死头部割下的大块皮革耳朵
A delicate flower that is said to grow on the sites of battles over the graves of dead soldiers,一种据说生长在战场遗址上的花朵，这些战场位于阵亡士兵的墓地附近
Lizard's Eye,爬虫之眼
"They say beauty lies in the eye of the beholder, but the slick goo coating this lizard’s eye gives you some doubts",有人说美在眼中有其独到之处，但覆盖在这只爬虫眼睛上的滑腻黏液却让你有些怀疑
"Still, the rarity of reptilians throughout the Empire’s inner cities means it should fetch a decent price",不过，帝国内部城市中爬虫类生物的稀有性意味着它应该能卖出不错的价钱
Mercury,汞
"Believed to be at the core of all metals, this liquid element is a commodity amongst alchemists and is as fast working as it is toxic",人们相信汞是所有金属的核心，这种液态元素是炼金师们交易的商品，其作用之快与毒性一样令人震惊
Cavechild,山洞之子
A small pinkish mushroom that is sometimes found in caves,一种粉红色的小蘑菇，有时可以在洞穴中发现
"Though eating it will cause acute vomiting, it is a valuable alchemical agent when used properly",虽然食用它会导致剧烈呕吐，但正确使用时它是一种有价值的炼金剂
Glowman,发光人
The Glowman is so called for its faint bioluminescence,由于其微弱的生物发光，人们称其为发光人
It grows naturally in damp cave-systems and it a commonly used alchemical ingredient,它自然生长在潮湿的洞穴系统中，是一种常用的炼金成分
Laughtercap,笑帽菇
"Easily recognizable with its red cap and white spots, the Laughtercap is not to be ingested as it is said to cause hysterical laughter and odd visions",由于其红色的帽盖和白色斑点，笑帽菇很容易被辨认，但切勿食用，因为它据说会导致歇斯底里的笑声和奇异的幻象
Many an apprentice alchemist has ignored this warning through the ages,无数学徒炼金师在历史上都无视了这个警告
Protoplasma,原生质
"Whilst this jelly-like substance may look harmless, its properties have been known to create potions just as acidic as the creature it comes from",虽然这种胶质物质看起来无害，但它的特性可以制造出与该生物一样酸性的药剂
"Do not, under any circumstances, ingest",任何情况下都不要食用
Rat Tail,鼠尾
Rats are so ubiquitously despised throughout the Empire that certain merchants will pay a bounty for their tails,在帝国中，老鼠被普遍憎恶，以至于某些商人会为它们的尾巴支付悬赏
As will certain alchemists,同样的，某些炼金师也会支付悬赏
Rotcrawler (insect,腐蚀虫（昆虫
"Whilst most citizens of the Empire would be disgusted by its presence, this larva-like insect can be useful to those who know what to do with it",尽管帝国的大多数市民会对它的存在感到厌恶，但这种类似幼虫的昆虫对知道如何利用它的人来说还是很有用的
Rotmold,腐蚀菌
"An aggressive mold known to eat almost any organic material it comes into contact with, this mold has cost more than a few citizens their cheese cellars",这种好战的霉菌几乎可以吞噬接触到的任何有机物质，它已经让不少市民失去了他们的奶酪储藏室
And pets,甚至宠物
Scale,角质
"This rare, luminescent scale was likely taken from some sort of giant lizard or sea creature",这种罕见的发光角质很可能来自某种巨型蜥蜴或海洋生物
"Whilst it is primarily used as an alchemical ingredient, its beauty makes it a popular ingredient amongst artisans on the Outer Isles",尽管它主要用作炼金材料，但它的美丽使其成为外群岛工匠们非常受欢迎的材料
Typically given as a gift to those in grief,通常作为礼物送给那些处于悲痛中的人
"It is said that if the plant is placed near your bed it will gorge on your despair, offering some slight respite",据说如果将这种植物放在床边，它会吞噬你的绝望，提供一点小小的慰藉
Spider Silk,蜘蛛丝
"Though it may be light in weight, it is not light in use",尽管它重量轻，但用途却很重
This silky ingredient has been used in a variety of potion recipes for centuries and is popular amongst the Empire’s finest alchemists,这种丝质材料被用于各种炼金配方中已有数百年历史，深受帝国顶级炼金师的喜爱
"Unfortunately, the same cannot be said for the creature that spins it",不幸的是，同样不能说这种制造它的生物也是如此
"Named due to an old wives’ tale in which flowers began to grow at the site of a fallen star, this white plant is often given between lovers as a sign of affection",由于一种古老的老婆子的传说，即花朵在陨星坠落之处生长，这种白色植物常被恋人之间作为表达爱意的礼物赠送
Sulfur,硫磺
"Sometimes called the Heart of Life by alchemists across the Empire, this element is known to be extremely flammable yet alchemically potent",在帝国的炼金术士中，有时称其为生命之心，这种元素以其极高的易燃性和炼金效力而闻名
Caution is advised,请谨慎
"Often found growing in areas of direct sunlight, these bright flowers are often used as decoration during the summer solstice",经常在直射阳光下生长，这些明亮的花朵常在夏至期间作为装饰使用
Tusk,牙齿
A huge tusk pried from the jaws of a monstrous hog,从怪物野猪的口中撬出的巨大獠牙
"For those who are brave or foolish enough to hunt such creatures, this useful alchemical ingredient makes a fine prize",对于那些勇敢或愚蠢到敢于猎杀此类生物的人来说，这种有用的炼金材料会成为极好的战利品
Venom Gland,毒液腺
A rather foul smelling sack removed from some kind of venomous animal,从某种有毒动物身上取出的一种散发着难闻气味的袋子
The liquid inside does not look much better than it smells,腐蚀性的液体气味同样令人作呕
Do not ingest,请勿食用
Withered Hand,枯萎的手
"Judging by the rotten scent emitting from this shriveled hand, it was likely cut from the wrist of a freshly risen ghoul",根据这腐烂的气味判断，这只干瘪的手很可能是从新复活的尸鬼手腕上割下的
"Though desecration of the dead is taboo in Imperial society, the many uses for a ghoul’s flesh nonetheless causes it to fetch a hefty price on the black markets",尽管在帝国社会中亵渎死者的行径是禁忌，但尸鬼肉的多种用途使其在黑市上仍能卖个好价钱
Fellbell,跌落铃
"Fellbells emit a soft, mesmerizing chime that seems to attract mushroom-pickers and animals alike",跌落铃发出柔和、催眠般的铃声，似乎能吸引蘑菇采摘者和动物
Unfortunately it is also highly poisonous,不幸的是，它也非常有毒
#Trinkets,#饰品
Amethyst,紫水晶
